Month,Return
202603,-0.067530864
202602,0.090174966
202601,0.077592458
202512,-0.043821939
202511,0.061221486
202510,0.046834078
202509,-0.038655213
202508,0.016102333
202507,-0.033595113
202506,-0.01869559
202505,-0.00624025
202504,0.020552902
202503,0.005676856
202502,0.121815807
202501,0.01964702
202412,-0.021026895
202411,-0.018870942
202410,-0.084882189
202409,-0.008416776
202408,0.08588087
202407,0.056610057
202406,0.011451667
202405,0.018699605
202404,0.017810372
202403,0.019220502
202402,0.008978273
202401,0.009425412
202312,0.016583748
202311,0.034502478
202310,0.017060876
202309,-0.064393252
202308,-0.033824045
202307,0.036135827
202306,0.009347507
202305,-0.069894306
202304,0.042103393
202303,0.042407407
202302,-0.029649596
202301,-0.036029794
202212,0.007152826
202211,0.062859262
202210,0.076232289
202209,-0.092210145
202208,-0.038327526
202207,0.027385001
202206,-0.007461361
202205,-0.018996166
202204,0.049954254
202203,-0.003827926
202202,0.020271527
202201,0.030273999
202112,0.137780685
202111,-0.069574037
202110,0.082327113
202109,-0.068126023
202108,-0.012724702
202107,0.061990562
202106,-0.021410579
202105,0.02429585
202104,0.032637655
202103,0.075967511
202102,0.017501215
202101,-0.122065728
202012,0.071085714
202011,0.073619632
202010,-0.018545279
202009,-0.003360538
202008,0.048577901
202007,0.066863588
202006,-0.042919558
202005,0.017254902
202004,0.046225383
202003,-0.172663499
202002,-0.084145078
202001,0.055106057
201912,0.044302352
201911,-0.019041219
201910,0.007220217
201909,-0.010935059
201908,0.045740957
201907,0.041818624
201906,0.036281179
201905,0.001514005
201904,0.055955236
201903,0.033599559
201902,-0.057861962
201901,0.016350211
201812,-0.052947053
201811,0.052576236
201810,0.045342127
201809,0.03645685
201808,-0.044365814
201807,0.07270073
201806,0.019952353
201805,-0.004742146
